deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
302d56776d75,OP10-001,OP10-006,3,,,,
302d56776d75,OP10-001,OP10-014,3,,,,
302d56776d75,OP10-001,OP10-023,4,,,,
302d56776d75,OP10-001,OP10-024,4,,,,
302d56776d75,OP10-001,OP10-025,4,,,,
302d56776d75,OP10-001,OP10-005,3,,,,
302d56776d75,OP10-001,OP10-007,3,,,,
302d56776d75,OP10-001,OP10-008,4,,,,
302d56776d75,OP10-001,OP10-010,3,,,,
302d56776d75,OP10-001,OP10-011,3,,,,
302d56776d75,OP10-001,OP10-022,4,,,,
302d56776d75,OP10-001,OP10-029,2,,,,
302d56776d75,OP10-001,OP10-030,2,,,,
302d56776d75,OP10-001,OP10-031,4,,,,
302d56776d75,OP10-001,OP10-032,4,,,,
