canonical_code,card_name,variant_key,variant_label,image_path,tcgplayer_product_id,tcgplayer_market_price
EB01-001,Kouzuki Oden,parallel_1,Parallel 1,EB01/parallel/EB01-001_p1.png,,
EB01-001,Kouzuki Oden,parallel_2,Parallel 2,EB02/parallel/EB01-001_p2.png,,
EB01-001,Kouzuki Oden,sp,Base,ORFC2025V2/sp/EB01-001_sp.png,,
EB01-002,Izo,base,Base,EB01/base/EB01-002.png,,
EB01-003,Kid & Killer,alt,Alt,thumbs/EB01-003alt.webp,,
EB01-003,Kid & Killer,alt,Alt Art 2,thumbs/EB01-003alt2.webp,,
EB01-003,Kid & Killer,base,Base,EB01/sp/EB01-003_sp.png,,
EB01-003,Kid & Killer,parallel_1,Parallel 1,EB01/parallel/EB01-003_p1.png,,
EB01-003,Kid & Killer,parallel_2,Parallel 2,_unclassified/parallel/EB01-003_p2.png,,
EB01-003,Kid & Killer,parallel_3,Parallel 3,ORFC2025V2/parallel/EB01-003_p3.png,,
EB01-003,Kid & Killer,parallel_5,Parallel 5,OP14/parallel/EB01-003_p5.png,,
EB01-003,Kid & Killer,sp,Parallel 4,ORFC2025V2/alt_art/EB01-003_alt.png,,
EB01-003,Kid & Killer,sp,SP,thumbs/EB01-003(SP).webp,,
EB01-004,Koza,base,Base,EB01/base/EB01-004.png,,
EB01-005,Doma,base,Base,EB01/base/EB01-005.png,,
EB01-006,Tony Tony.Chopper,alt,Alt,thumbs/EB01-006alt.webp,,
EB01-006,Tony Tony.Chopper,base,Base,EB01/base/EB01-006.png,,
EB01-006,Tony Tony.Chopper,mr,Manga,thumbs/EB01-006 Manga Rare.webp,,
EB01-006,Tony Tony.Chopper,parallel_1,Parallel 1,EB01/parallel/EB01-006_p1.png,,
EB01-006,Tony Tony.Chopper,parallel_2,Parallel 2,EB01/parallel/EB01-006_p2.png,,
EB01-006,Tony Tony.Chopper,parallel_3,Parallel 3,_unclassified/parallel/EB01-006_p3.png,,
EB01-006,Tony Tony.Chopper,r1,R1,PRB01/reprint/EB01-006_r1.png,,
EB01-007,Yamato,base,Base,EB01/base/EB01-007.png,,
EB01-007,Yamato,parallel_1,Parallel 1,BCV4/parallel/EB01-007_p1.png,,
EB01-008,LittleOars Jr.,base,Base,EB01/base/EB01-008.png,,
EB01-009,Just Shut Up and Come with Us!!!!,base,Base,EB01/base/EB01-009.png,,
EB01-009,Just Shut Up and Come with Us!!!!,parallel_1,Parallel 1,PRB02/parallel/EB01-009_p1.png,,
EB01-009,Just Shut Up and Come with Us!!!!,r1,R1,PRB02/reprint/EB01-009_r1.png,,
EB01-010,There's No Way You Could Defeat Me!!,base,Base,EB01/base/EB01-010.png,,
EB01-011,Mini-Merry,base,Base,EB01/base/EB01-011.png,,
EB01-012,Cavendish,alt,Alt,thumbs/EB01-012alt.webp,,
EB01-012,Cavendish,alt,Alt Art 2,thumbs/EB01-012alt2.webp,,
EB01-012,Cavendish,base,Base,EB01/base/EB01-012.png,,
EB01-012,Cavendish,parallel_1,Parallel 1,EB01/parallel/EB01-012_p1.png,,
EB01-012,Cavendish,parallel_3,Parallel 3,EB01/parallel/EB01-012_p3.png,,
EB01-012,Cavendish,r1,R1,PRB02/reprint/EB01-012_r1.png,,
EB01-013,Kouzuki Hiyori,alt,Alt,thumbs/EB01-013alt.webp,,
EB01-013,Kouzuki Hiyori,base,Base,EB01/base/EB01-013.png,,
EB01-013,Kouzuki Hiyori,parallel_1,Parallel 1,EB01/parallel/EB01-013_p1.png,,
EB01-014,Sanji,alt,Alt,thumbs/EB01-014alt.webp,,
EB01-014,Sanji,base,Base,EB01/base/EB01-014.png,,
EB01-014,Sanji,parallel_1,Parallel 1,CS2526CP/parallel/EB01-014_p1.png,,
EB01-015,Scratchmen Apoo,alt,Alt,thumbs/EB01-015alt.webp,,
EB01-015,Scratchmen Apoo,alt,Prb02,thumbs/EB01-015(PRB02).webp,,
EB01-015,Scratchmen Apoo,base,Base,EB01/base/EB01-015.png,,
EB01-015,Scratchmen Apoo,parallel_1,Parallel 1,TK2025V2/parallel/EB01-015_p1.png,,
EB01-015,Scratchmen Apoo,parallel_2,Parallel 2,_unclassified/parallel/EB01-015_p2.png,,
EB01-015,Scratchmen Apoo,parallel_3,Parallel 3,ST24/parallel/EB01-015_p3.png,,
EB01-015,Scratchmen Apoo,parallel_4,Parallel 4,CS2526CP/parallel/EB01-015_p4.png,,
EB01-015,Scratchmen Apoo,parallel_5,Parallel 5,PRB02/parallel/EB01-015_p5.png,,
EB01-015,Scratchmen Apoo,r1,R1,PRB02/reprint/EB01-015_r1.png,,
EB01-016,Bingoh,base,Base,EB01/base/EB01-016.png,,
EB01-017,Blueno,base,Base,EB01/base/EB01-017.png,,
EB01-018,Mountain God,base,Base,EB01/base/EB01-018.png,,
EB01-018,Mountain God,parallel_1,Parallel 1,PRB02/parallel/EB01-018_p1.png,,
EB01-018,Mountain God,r1,R1,PRB02/reprint/EB01-018_r1.png,,
EB01-019,Off-White,base,Base,EB01/base/EB01-019.png,,
EB01-020,Chambres,base,Base,EB01/base/EB01-020.png,,
