id,market_product_fk,source_name,captured_at,currency,subtype_name,low_price,mid_price,high_price,market_price,direct_low_price,listed_median_price,sales_volume,available_quantity,raw_payload_json
309,309,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.28,1.18,5.0,1.13,,,,,
310,310,tcgcsv,2026-04-01 22:09:08,USD,Foil,823.99,1100.0,3100.0,847.45,,,,,
311,311,tcgcsv,2026-04-01 22:09:08,USD,Foil,2.19,4.12,50.0,2.59,,,,,
312,312,tcgcsv,2026-04-01 22:09:08,USD,Foil,1.0,3.0,50.0,2.17,,,,,
313,313,tcgcsv,2026-04-01 22:09:08,USD,Foil,107.0,144.95,1000.0,138.63,,,,,
314,314,tcgcsv,2026-04-01 22:09:08,USD,Foil,4.49,6.99,39.99,6.03,,,,,
315,315,tcgcsv,2026-04-01 22:09:08,USD,Foil,135.95,168.25,1200.0,171.73,,,,,
316,316,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.2,1.99,5.0,1.58,,,,,
317,317,tcgcsv,2026-04-01 22:09:08,USD,Foil,1.5,3.89,24.99,2.17,,,,,
318,318,tcgcsv,2026-04-01 22:09:08,USD,Foil,0.15,0.99,14.5,0.66,,,,,
319,319,tcgcsv,2026-04-01 22:09:08,USD,Foil,34.38,45.02,99.99,43.64,,,,,
320,320,tcgcsv,2026-04-01 22:09:08,USD,Foil,3.94,5.0,19.99,4.87,,,,,
321,321,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.22,0.35,2.0,0.32,,,,,
322,322,tcgcsv,2026-04-01 22:09:08,USD,Foil,4.6,11.5,99.99,6.74,,,,,
323,323,tcgcsv,2026-04-01 22:09:08,USD,Foil,0.25,0.99,10.0,0.83,,,,,
324,324,tcgcsv,2026-04-01 22:09:08,USD,Foil,16.0,30.9,200.0,19.08,,,,,
325,325,tcgcsv,2026-04-01 22:09:08,USD,Foil,2.49,5.0,50.0,3.95,,,,,
326,326,tcgcsv,2026-04-01 22:09:08,USD,Foil,1.55,3.7,35.0,2.16,,,,,
327,327,tcgcsv,2026-04-01 22:09:08,USD,Normal,1.0,2.5,9.99,2.02,,,,,
328,328,tcgcsv,2026-04-01 22:09:08,USD,Foil,460.0,571.83,1500.0,564.49,,,,,
329,329,tcgcsv,2026-04-01 22:09:08,USD,Foil,413.68,466.51,3000.0,480.23,,,,,
330,330,tcgcsv,2026-04-01 22:09:08,USD,Normal,6.34,10.0,25.0,6.57,,,,,
331,331,tcgcsv,2026-04-01 22:09:08,USD,Foil,0.06,0.25,5.0,0.2,,,,,
332,332,tcgcsv,2026-04-01 22:09:08,USD,Foil,0.14,0.45,9.99,0.45,,,,,
333,333,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.25,0.75,9.0,0.41,,,,,
334,334,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.15,2.0,0.06,,,,,
335,335,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.15,2.0,0.08,,,,,
336,336,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.02,0.17,2.0,0.11,,,,,
337,337,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.15,2.0,0.11,,,,,
338,338,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.05,0.2,2.0,0.12,,,,,
339,339,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.15,2.0,0.06,,,,,
340,340,tcgcsv,2026-04-01 22:09:08,USD,Foil,0.69,1.96,14.99,1.07,,,,,
341,341,tcgcsv,2026-04-01 22:09:08,USD,Foil,43.92,57.09,168.97,46.31,,,,,
342,342,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.05,0.2,2.0,0.19,,,,,
343,343,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.1,0.32,3.0,0.26,,,,,
344,344,tcgcsv,2026-04-01 22:09:08,USD,Foil,1.0,2.99,20.0,1.78,,,,,
345,345,tcgcsv,2026-04-01 22:09:08,USD,Foil,397.99,447.06,3000.0,447.06,,,,,
346,346,tcgcsv,2026-04-01 22:09:08,USD,Foil,0.1,0.49,9.99,0.39,,,,,
347,347,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.15,2.0,0.07,,,,,
348,348,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.03,0.2,2.0,0.12,,,,,
349,349,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.15,2.0,0.07,,,,,
350,350,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.21,2.0,0.2,,,,,
351,351,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.1,0.3,4.25,0.29,,,,,
352,352,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.15,2.0,0.08,,,,,
353,353,tcgcsv,2026-04-01 22:09:08,USD,Foil,0.7,1.25,10.0,0.83,,,,,
354,354,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.16,1.04,24.0,0.83,,,,,
355,355,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.15,2.0,0.08,,,,,
356,356,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.15,0.48,20.0,0.45,,,,,
357,357,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.15,0.3,4.99,0.28,,,,,
358,358,tcgcsv,2026-04-01 22:09:08,USD,Foil,99.0,114.99,420.69,114.24,,,,,
359,359,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.03,0.2,2.0,0.12,,,,,
360,360,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.1,0.4,10.0,0.33,,,,,
361,361,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.15,2.0,0.07,,,,,
362,362,tcgcsv,2026-04-01 22:09:08,USD,Foil,0.14,0.32,4.99,0.32,,,,,
363,363,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.15,2.0,0.08,,,,,
364,364,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.15,2.0,0.07,,,,,
365,365,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.15,2.0,0.06,,,,,
366,366,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.06,0.31,5.0,0.28,,,,,
367,367,tcgcsv,2026-04-01 22:09:08,USD,Foil,5.48,11.0,64.49,5.76,,,,,
368,368,tcgcsv,2026-04-01 22:09:08,USD,Foil,0.11,0.41,5.0,0.41,,,,,
369,369,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.03,0.2,2.0,0.14,,,,,
370,370,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.15,2.0,0.08,,,,,
371,371,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.15,2.0,0.09,,,,,
372,372,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.15,2.0,0.06,,,,,
373,373,tcgcsv,2026-04-01 22:09:08,USD,Foil,0.12,0.4,4.99,0.37,,,,,
374,374,tcgcsv,2026-04-01 22:09:08,USD,Foil,0.39,1.16,38.94,0.59,,,,,
375,375,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.17,2.0,0.08,,,,,
376,376,tcgcsv,2026-04-01 22:09:08,USD,Foil,0.11,0.29,2.5,0.29,,,,,
377,377,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.02,0.15,2.0,0.08,,,,,
378,378,tcgcsv,2026-04-01 22:09:08,USD,Foil,0.95,1.99,25.0,1.27,,,,,
379,379,tcgcsv,2026-04-01 22:09:08,USD,Foil,17.86,23.49,145.0,20.27,,,,,
380,380,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.02,0.2,2.0,0.1,,,,,
381,381,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.15,2.0,0.07,,,,,
382,382,tcgcsv,2026-04-01 22:09:08,USD,Foil,0.19,0.4,6.99,0.37,,,,,
383,383,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.02,0.25,4.0,0.17,,,,,
384,384,tcgcsv,2026-04-01 22:09:08,USD,Normal,0.01,0.19,2.0,0.15,,,,,
385,385,tcgcsv,2026-04-01 22:09:08,USD,Normal,1.0,1.99,5.0,1.54,,,,,
