card_id,card_canonical_code,card_name,card_rarity,card_source,cv_card_variant_id,cv_card_variants_card_id,cv_print_id,cv_tcgplayer_product_id,cv_variant,cv_variant_label,cv_variant_source,cv_image_path,cv_image_url,printing_market_map_id,printing_id,printing_market_map_market_product_internal_fk,pmm_mapping_confidence,pmm_mapping_method,mp_market_products_internal_id,mp_market_product_id,mp_product_name,mp_clean_name,mp_ext_number,mp_rarity_market,mp_subtype,mp_market_product_source,mpr_market_prices_id,market_product_fk,mpr_low_price,mpr_mid_price,mpr_high_price,mpr_market_price,mpr_direct_low_price,mpr_listed_median_price,mpr_captured_at,mpr_mpr_source_name,print_id_trim,has_printing_market_map,has_market_product_via_map,has_market_price_via_chain,has_tcgplayer_column_price,has_variant_image_fields,has_image_assets_row,failure_stage,recoverable_reason
2461,ST21-015,Roronoa Zoro,SR,,7691,2461,ST21-015,,base,Base,official-cardlist,ST21/base/ST21-015.png,https://en.onepiece-cardgame.com/images/cardlist/card/ST21-015.png?260305,1236,7691,1680,HIGH,exact_code_plus_base_flag,1680,649626,Roronoa Zoro (CS 25-26 3rd Place),Roronoa Zoro CS 25 26 3rd Place,ST21-015,SR,,tcgcsv,,,,,,,,,,,ST21-015,1,1,0,0,1,0,missing_market_price,map_and_product_ok_price_row_missing
1,EB01-001,Kouzuki Oden,L,,1,1,EB01-001,,sp,Base,image-review-reclassify,ORFC2025V2/sp/EB01-001_sp.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-001.png?260305,2167,1,2709,MEDIUM,exact_code_set_fallback,2709,544523,Kouzuki Oden,Kouzuki Oden,EB01-001,L,,tcgcsv,2517,2709,0.1,0.24,5.0,0.22,,,2026-04-02 03:06:18,tcgcsv,EB01-001,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
2,EB01-002,Izo,R,,5,2,EB01-002,,base,Base,official-cardlist,EB01/base/EB01-002.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-002.png?260305,2169,5,2711,HIGH,exact_code_plus_base_flag,2711,544525,Izo,Izo,EB01-002,R,,tcgcsv,2519,2711,0.25,0.99,25.0,0.83,,,2026-04-02 03:06:18,tcgcsv,EB01-002,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
3,EB01-003,Kid & Killer,R,OP14,7,3,EB01-003,,base,Base,official-cardlist,EB01/sp/EB01-003_sp.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003.png?260305,1191,7,1633,HIGH,exact_code_plus_base_flag,1633,646720,Kid & Killer (Offline Regional Champion Card Set 2025 Vol.2),Kid and Killer Offline Regional Champion Card Set 2025 Vol2,EB01-003,R,,tcgcsv,,,,,,,,,,,EB01-003,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
4,EB01-004,Koza,C,,17,4,EB01-004,,base,Base,official-cardlist,EB01/base/EB01-004.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-004.png?260305,2172,17,2714,HIGH,exact_code_plus_base_flag,2714,544528,Koza,Koza,EB01-004,C,,tcgcsv,2522,2714,0.01,0.15,1.58,0.08,,,2026-04-02 03:06:18,tcgcsv,EB01-004,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
5,EB01-005,Doma,C,,19,5,EB01-005,,base,Base,official-cardlist,EB01/base/EB01-005.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-005.png?260305,2173,19,2715,HIGH,exact_code_plus_base_flag,2715,544529,Doma,Doma,EB01-005,C,,tcgcsv,2523,2715,0.01,0.15,1.58,0.05,,,2026-04-02 03:06:18,tcgcsv,EB01-005,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
6,EB01-006,Tony Tony.Chopper,SR,,21,6,EB01-006,,base,Base,official-cardlist,EB01/base/EB01-006.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006.png?260305,1021,21,1420,HIGH,exact_code_plus_base_flag,1420,590986,Tony Tony.Chopper (Treasure Cup 2024),Tony TonyChopper Treasure Cup 2024,EB01-006,SR,,tcgcsv,1313,1420,2299.99,2300.0,2500.0,923.8,,,2026-04-02 03:06:17,tcgcsv,EB01-006,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
7,EB01-007,Yamato,C,,29,7,EB01-007,,base,Base,official-cardlist,EB01/base/EB01-007.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-007.png?260305,1270,29,1718,HIGH,exact_code_plus_base_flag,1718,649682,Yamato (Premium Card Collection -Best Selection Vol. 4-),Yamato Premium Card Collection Best Selection Vol 4,EB01-007,C,,tcgcsv,1573,1718,8.99,10.18,39.0,9.31,,,2026-04-02 03:06:17,tcgcsv,EB01-007,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
8,EB01-008,LittleOars Jr.,R,,32,8,EB01-008,,base,Base,official-cardlist,EB01/base/EB01-008.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-008.png?260305,2178,32,2720,HIGH,exact_code_plus_base_flag,2720,544534,LittleOars Jr.,LittleOars Jr,EB01-008,R,,tcgcsv,2528,2720,0.05,0.25,25.0,0.16,,,2026-04-02 03:06:18,tcgcsv,EB01-008,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
9,EB01-009,Just Shut Up and Come with Us!!!!,C,,34,9,EB01-009,,base,Base,official-cardlist,EB01/base/EB01-009.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-009.png?260305,2179,34,2721,HIGH,exact_code_plus_base_flag,2721,544535,Just Shut Up and Come with Us!!!!,Just Shut Up and Come with Us,EB01-009,C,,tcgcsv,2529,2721,0.06,0.24,2.75,0.12,,,2026-04-02 03:06:18,tcgcsv,EB01-009,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
