variant_key	count
base	4776
alt	670
parallel 1	498
alt art 2	79
prb01alt	71
sp	62
prb02	34
parallel 2	28
2	27
manga	18
2nd anniversary alt	16
alt art 3	16
premiumvol 5	11
1st anniversary alt	10
film	10
film2	10
prb01alt2	10
25th	9
manga alt	9
alt art 1	8
tr	8
wanted	8
championship	7
cs	7
alt sp	6
dashpack	6
sp alt	6
winner alt	6
3rdann	5
cn	5
exe vol 3	5
promopackvol 8	5
winner	5
sp1	4
sp2	4
standardbattle	4
alt art 4	3
bisai	3
cn3rdann	3
koushirokushiro	3
ltd	3
parallel 3	3
premium	3
premiumvol 6	3
red	3
serial	3
wanted alt	3
1	2
alt remake	2
alts	2
cn alt	2
cn3rdanniv	2
english	2
illustration boxvol 6	2
manga rare	2
parallel 4	2
parallel 5	2
parallel 7	2
prb01alt 1	2
promo	2
sound loader alt	2
super pre release	2
treasurecup	2
2nd anniversary chinese serial alt	1
a t	1
a t2	1
alt art 7	1
alt st10	1
alt2nd	1
alt3rd	1
baseshoplimitedcollection	1
basketball	1
best alt	1
binder	1
champion	1
flagship	1
fullalt	1
gold	1
ia	1
ichiban byhylianer	1
law alt	1
milky gold	1
milky normal	1
new year alt	1
oda alt	1
one piece day 24 alt	1
onepieceday24 alt	1
parallel 6	1
parallel 8	1
pp7	1
prb01alt1	1
prb01alt2 1	1
psa x bandai promo alt	1
sn	1
soundloader	1
st10 alt	1
st15alt	1
st16alt	1
st17alt	1
st18 alt	1
st19 alt	1
st20 alt	1
st23	1
st24	1
st26	1
st27	1
st28	1
standardbattlevol11	1
standardbattlewinner	1
t ournament pack vol 2 winner	1
tr alt	1
tralt	1
wantedalt	1
world alt	1
world alt 2nd place	1
world alt 3rd place	1
