card_code	base_row_count
OP01-121	2
OP01-120	2
OP01-119	2
OP01-118	2
OP01-117	2
OP01-116	2
OP01-115	2
OP01-114	2
OP01-113	2
OP01-112	2
OP01-111	2
OP01-110	2
OP01-109	2
OP01-108	2
OP01-107	2
OP01-106	2
OP01-105	2
OP01-104	2
OP01-103	2
OP01-102	2
OP01-101	2
OP01-100	2
OP01-099	2
OP01-098	2
OP01-097	2
OP01-096	2
OP01-095	2
OP01-094	2
OP01-093	2
OP01-092	2
OP01-091	2
OP01-090	2
OP01-089	2
OP01-088	2
OP01-087	2
OP01-086	2
OP01-085	2
OP01-084	2
OP01-083	2
OP01-082	2
OP01-081	2
OP01-080	2
OP01-079	2
OP01-078	2
OP01-077	2
OP01-076	2
OP01-075	2
OP01-074	2
OP01-073	2
OP01-072	2
OP01-071	2
OP01-070	2
OP01-069	2
OP01-068	2
OP01-067	2
OP01-066	2
OP01-065	2
OP01-064	2
OP01-063	2
OP01-062	2
OP01-061	2
OP01-060	2
OP01-059	2
OP01-058	2
OP01-057	2
OP01-056	2
OP01-055	2
OP01-054	2
OP01-053	2
OP01-052	2
OP01-051	2
OP01-050	2
OP01-049	2
OP01-048	2
OP01-047	2
OP01-046	2
OP01-045	2
OP01-044	2
OP01-043	2
OP01-042	2
OP01-041	2
OP01-040	2
OP01-039	2
OP01-038	2
OP01-037	2
OP01-036	2
OP01-035	2
OP01-034	2
OP01-033	2
OP01-032	2
OP01-031	2
OP01-030	2
OP01-029	2
OP01-028	2
OP01-027	2
OP01-026	2
OP01-025	2
OP01-024	2
OP01-023	2
OP01-022	2
OP01-021	2
OP01-020	2
OP01-019	2
OP01-018	2
OP01-017	2
OP01-016	2
OP01-015	2
OP01-014	2
OP01-013	2
OP01-012	2
OP01-011	2
OP01-010	2
OP01-009	2
OP01-008	2
OP01-007	2
OP01-006	2
OP01-005	2
OP01-004	2
OP01-003	2
OP01-002	2
OP01-001	2
