print_id	variant_key	product_name	market_variant_label	market_price	mapping_confidence	mapping_method
OP01-001	base	Roronoa Zoro (001)		2.02	HIGH	exact_code_plus_base_flag
OP01-001_p2	parallel_2	Roronoa Zoro (001) (Parallel)	Parallel	564.49	HIGH	exact_code_plus_set_match
OP01-002	base	Trafalgar Law (002)		1.13	HIGH	exact_code_plus_base_flag
OP01-002_p1	parallel_1	Trafalgar Law (002) (Parallel)	Parallel	480.23	MEDIUM	exact_code_set_fallback
OP01-003	base	Monkey.D.Luffy (003)		6.57	HIGH	exact_code_plus_base_flag
OP01-003_p1	parallel_1	Monkey.D.Luffy (003) (Parallel)	Parallel	847.45	MEDIUM	exact_code_set_fallback
OP01-004	base	Usopp		0.2	HIGH	exact_code_plus_base_flag
OP01-005	base	Uta		0.45	HIGH	exact_code_plus_base_flag
OP01-006	base	Otama		0.41	HIGH	exact_code_plus_base_flag
OP01-007	base	Caribou		0.06	HIGH	exact_code_plus_base_flag
OP01-008	base	Cavendish		0.08	HIGH	exact_code_plus_base_flag
OP01-009	base	Carrot		0.11	HIGH	exact_code_plus_base_flag
OP01-010	base	Komachiyo		0.11	HIGH	exact_code_plus_base_flag
OP01-011	base	Gordon		0.12	HIGH	exact_code_plus_base_flag
OP01-012	base	Sai		0.06	HIGH	exact_code_plus_base_flag
OP01-013	base	Sanji		1.07	HIGH	exact_code_plus_base_flag
OP01-013_p2	parallel_2	Sanji (Parallel)	Parallel	46.31	HIGH	exact_code_plus_set_match
OP01-014	base	Jinbe (014)		0.19	HIGH	exact_code_plus_base_flag
OP01-015	base	Tony Tony.Chopper		0.26	HIGH	exact_code_plus_base_flag
OP01-016	base	Nami		1.78	HIGH	exact_code_plus_base_flag
OP01-016_p2	parallel_2	Nami (Parallel)	Parallel	447.06	HIGH	exact_code_plus_set_match
OP01-017	base	Nico Robin		0.39	HIGH	exact_code_plus_base_flag
OP01-018	base	Hajrudin		0.07	HIGH	exact_code_plus_base_flag
OP01-019	base	Bartolomeo		0.12	HIGH	exact_code_plus_base_flag
OP01-020	base	Hyogoro		0.07	HIGH	exact_code_plus_base_flag
OP01-021	base	Franky		0.2	HIGH	exact_code_plus_base_flag
OP01-022	base	Brook		0.29	HIGH	exact_code_plus_base_flag
OP01-023	base	Marco		0.08	HIGH	exact_code_plus_base_flag
OP01-024	base	Monkey.D.Luffy (024)		2.17	HIGH	exact_code_plus_base_flag
OP01-024_p1	parallel_1	Monkey.D.Luffy (024) (Parallel)	Parallel	138.63	MEDIUM	exact_code_set_fallback
