id	market_product_id	market_group_id	product_name	market_variant_label	market_number
1	453505	3188	Trafalgar Law (002)	base	OP01-002
2	453506	3188	Monkey.D.Luffy (003) (Parallel)	parallel_1	OP01-003
3	453507	3188	Cavendish (Box Topper)	promo	OP01-008
4	453508	3188	Monkey.D.Luffy (024)	base	OP01-024
5	453509	3188	Monkey.D.Luffy (024) (Parallel)	parallel_1	OP01-024
6	453510	3188	Roronoa Zoro (025)	base	OP01-025
7	453511	3188	Roronoa Zoro (025) (Parallel)	parallel_3	OP01-025
8	453512	3188	In Two Years!! At the Sabaody Archipelago!!	base	OP01-030
9	453513	3188	Inuarashi (Box Topper)	promo	OP01-034
10	453514	3188	Kin'emon	base	OP01-040
