print_id	variant_key	product_name	market_variant_label	market_price	mid_price	mapping_confidence	mapping_method
OP01-001_p2	parallel_2	Roronoa Zoro (001) (Parallel)	Parallel	564.49	571.83	HIGH	exact_code_plus_set_match
OP01-002_p1	parallel_1	Trafalgar Law (002) (Parallel)	Parallel	480.23	466.51	MEDIUM	exact_code_set_fallback
OP01-003_p1	parallel_1	Monkey.D.Luffy (003) (Parallel)	Parallel	847.45	1100.0	MEDIUM	exact_code_set_fallback
OP01-013_p2	parallel_2	Sanji (Parallel)	Parallel	46.31	57.09	HIGH	exact_code_plus_set_match
OP01-016_p2	parallel_2	Nami (Parallel)	Parallel	447.06	447.06	HIGH	exact_code_plus_set_match
OP01-024_p1	parallel_1	Monkey.D.Luffy (024) (Parallel)	Parallel	138.63	144.95	MEDIUM	exact_code_set_fallback
OP01-025_p3	parallel_3	Roronoa Zoro (025) (Parallel)	Parallel	171.73	168.25	HIGH	exact_code_plus_set_match
OP01-031_p1	parallel_1	Kouzuki Oden (Parallel)	Parallel	114.24	114.99	MEDIUM	exact_code_set_fallback
OP01-040_p1	parallel_1	Kin'emon (Parallel)	Parallel	5.76	11.0	MEDIUM	exact_code_set_fallback
OP01-047_p1	parallel_1	Trafalgar Law (047) (Parallel)	Parallel	43.64	45.02	MEDIUM	exact_code_set_fallback
OP01-051_p1	parallel_1	"Eustass""Captain""Kid (Parallel)"	Parallel	20.27	23.49	MEDIUM	exact_code_set_fallback
OP01-060_p1	parallel_1	Donquixote Doflamingo (060) (Parallel)	Parallel	280.31	275.5	MEDIUM	exact_code_set_fallback
OP01-061_p1	parallel_1	Kaido (061) (Parallel)	Parallel	142.83	147.81	MEDIUM	exact_code_set_fallback
OP01-062_p1	parallel_1	Crocodile (062) (Parallel)	Parallel	143.64	160.89	MEDIUM	exact_code_set_fallback
OP01-067_p1	parallel_1	Crocodile (067) (Parallel)	Parallel	13.17	16.34	MEDIUM	exact_code_set_fallback
OP01-070_p1	parallel_1	Dracule Mihawk (Parallel)	Parallel	43.86	49.17	MEDIUM	exact_code_set_fallback
OP01-073_p1	parallel_1	Donquixote Doflamingo (073) (Parallel)	Parallel	18.19	25.86	MEDIUM	exact_code_set_fallback
OP01-078_p1	parallel_1	Boa Hancock (Parallel)	Parallel	123.12	141.59	MEDIUM	exact_code_set_fallback
OP01-091_p1	parallel_1	King (091) (Parallel)	Parallel	115.29	119.99	MEDIUM	exact_code_set_fallback
OP01-093_p1	parallel_1	Ulti (Parallel)	Parallel	10.59	17.67	MEDIUM	exact_code_set_fallback
