market_number	market_variant_label	product_name
OP01-001		Roronoa Zoro (001)
OP01-002		Trafalgar Law (002)
OP01-003		Monkey.D.Luffy (003)
OP01-004		Usopp
OP01-005		Uta
OP01-006		Otama
OP01-007		Caribou
OP01-008		Cavendish
OP01-009		Carrot
OP01-010		Komachiyo
OP01-011		Gordon
OP01-012		Sai
OP01-013		Sanji
OP01-014		Jinbe (014)
OP01-015		Tony Tony.Chopper
OP01-016		Nami
OP01-017		Nico Robin
OP01-018		Hajrudin
OP01-019		Bartolomeo
OP01-020		Hyogoro
OP01-021		Franky
OP01-022		Brook
OP01-023		Marco
OP01-024		Monkey.D.Luffy (024)
OP01-025		Roronoa Zoro (025)
OP01-026		Gum-Gum Fire-Fist Pistol Red Hawk
OP01-027		Round Table
OP01-028		Green Star Rafflesia
OP01-029		Radical Beam!!
OP01-030		In Two Years!! At the Sabaody Archipelago!!
OP01-031		Kouzuki Oden
OP01-032		Ashura Doji
OP01-033		Izo
OP01-034		Inuarashi
OP01-035		Okiku
OP01-036		Otsuru
OP01-037		Kawamatsu
OP01-038		Kanjuro
OP01-039		Killer
OP01-040		Kin'emon
OP01-041		Kouzuki Momonosuke
OP01-042		Komurasaki
OP01-043		Shinobu
OP01-044		Shachi
OP01-045		Jean Bart
OP01-046		Denjiro
OP01-047		Trafalgar Law (047)
OP01-048		Nekomamushi
OP01-049		Bepo
OP01-050		Penguin
OP01-051		"Eustass""Captain""Kid"
OP01-052		Raizo
OP01-053		Wire
OP01-054		X.Drake (054)
OP01-055		You Can Be My Samurai!!
OP01-056		Demon Face
OP01-057		Paradise Waterfall
OP01-058		Punk Gibson
OP01-059		BE-BENG!!
OP01-060		Donquixote Doflamingo (060)
OP01-061		Kaido (061)
OP01-062		Crocodile (062)
OP01-063		Arlong
OP01-064		Alvida
OP01-065		Vergo
OP01-066		Krieg
OP01-067		Crocodile (067)
OP01-068		Gecko Moria
OP01-069		Caesar Clown
OP01-070		Dracule Mihawk
OP01-071		Jinbe (071)
OP01-072		Smiley
OP01-073		Donquixote Doflamingo (073)
OP01-074		Bartholomew Kuma
OP01-075		Pacifista
OP01-076		Bellamy
OP01-077		Perona
OP01-078		Boa Hancock
OP01-079		Ms. All Sunday
OP01-081		Mocha
OP01-082		Monet
OP01-086		Overheat
OP01-087		Officer Agents
OP01-088		Desert Spada
OP01-089		Crescent Cutlass
OP01-090		Baroque Works
OP01-091		King (091)
OP01-092		Urashima
OP01-093		Ulti
OP01-094		Kaido (094)
OP01-095		Kyoshirou
OP01-096		King (096)
OP01-097		Queen
OP01-098		Kurozumi Orochi
OP01-099		Kurozumi Semimaru
OP01-100		Kurozumi Higurashi
OP01-101		Sasaki
OP01-102		Jack
OP01-103		Scratchmen Apoo
OP01-104		Speed
OP01-105		Bao Huang
OP01-106		Basil Hawkins
OP01-107		Babanuki
OP01-108		Hitokiri Kamazo
OP01-109		Who's.Who
OP01-110		Fukurokuju
OP01-111		Black Maria
OP01-112		Page One
OP01-113		Holedem
OP01-114		X.Drake (114)
OP01-115		Elephant's Marchoo
OP01-116		Artificial Devil Fruit SMILE
OP01-117		Sheep's Horn
OP01-118		Ulti-Mortar
OP01-119		Thunder Bagua
OP01-120		Shanks
OP01-121		Yamato
OP01-084	Bentham	Mr.2.Bon.Kurei (Bentham)
OP01-008	Box Topper	Cavendish (Box Topper)
OP01-034	Box Topper	Inuarashi (Box Topper)
OP01-048	Box Topper	Nekomamushi (Box Topper)
OP01-064	Box Topper	Alvida (Box Topper)
OP01-077	Box Topper	Perona (Box Topper)
OP01-109	Box Topper	Who's.Who (Box Topper)
OP01-083	Daz.Bonez	Mr.1 (Daz.Bonez)
OP01-085	Galdino	Mr.3 (Galdino)
OP01-080	Zala	Miss Doublefinger(Zala)
