print_id	variant_key	tcgplayer_product_id	tcgplayer_market_price	distribution_product_key
OP01-001_p2	parallel_2	454513	564.49	PCC25
OP01-002_p1	parallel_1	454514	480.23	
OP01-003_p1	parallel_1	453506	847.45	
OP01-013_p2	parallel_2	454530	46.31	PCC25
OP01-016_p2	parallel_2	454536	447.06	PCC25
OP01-024_p1	parallel_1	453509	138.63	
OP01-025_p3	parallel_3	453511	171.73	ANN1EN
OP01-031_p1	parallel_1	454552	114.24	
OP01-040_p1	parallel_1	454564	5.76	
OP01-047_p1	parallel_1	453515	43.64	
OP01-051_p1	parallel_1	454576	20.27	
OP01-060_p1	parallel_1	454586	280.31	
OP01-061_p1	parallel_1	454587	142.83	
OP01-062_p1	parallel_1	454589	143.64	
OP01-067_p1	parallel_1	454594	13.17	
OP01-070_p1	parallel_1	454599	43.86	
OP01-073_p1	parallel_1	454603	18.19	
OP01-078_p1	parallel_1	454609	123.12	
OP01-091_p1	parallel_1	454623	115.29	
OP01-093_p1	parallel_1	454626	10.59	
OP01-094_p1	parallel_1	454627	26.45	
OP01-096_p1	parallel_1	454630	11.25	
OP01-097_p1	parallel_1	454632	6.43	
OP01-102_p1	parallel_1	454638	6.54	
OP01-120::manga	mr	454666	2033.99	
OP01-120_p2	parallel_2	454665	74.24	OP01
OP01-121_p1	parallel_1	454669	104.03	
