card_code	parsed_variant_key	name
OP01-001	base	Roronoa Zoro (001)
OP01-002	base	Trafalgar Law (002)
OP01-003	base	Monkey.D.Luffy (003)
OP01-004	base	Usopp
OP01-005	base	Uta
OP01-006	base	Otama
OP01-007	base	Caribou
OP01-008	base	Cavendish
OP01-009	base	Carrot
OP01-010	base	Komachiyo
OP01-011	base	Gordon
OP01-012	base	Sai
OP01-013	base	Sanji
OP01-014	base	Jinbe (014)
OP01-015	base	Tony Tony.Chopper
OP01-016	base	Nami
OP01-017	base	Nico Robin
OP01-018	base	Hajrudin
OP01-019	base	Bartolomeo
OP01-020	base	Hyogoro
OP01-021	base	Franky
OP01-022	base	Brook
OP01-023	base	Marco
OP01-024	base	Monkey.D.Luffy (024)
OP01-025	base	Roronoa Zoro (025)
OP01-026	base	Gum-Gum Fire-Fist Pistol Red Hawk
OP01-027	base	Round Table
OP01-028	base	Green Star Rafflesia
OP01-029	base	Radical Beam!!
OP01-030	base	In Two Years!! At the Sabaody Archipelago!!
OP01-031	base	Kouzuki Oden
OP01-032	base	Ashura Doji
OP01-033	base	Izo
OP01-034	base	Inuarashi
OP01-035	base	Okiku
OP01-036	base	Otsuru
OP01-037	base	Kawamatsu
OP01-038	base	Kanjuro
OP01-039	base	Killer
OP01-040	base	Kin'emon
OP01-041	base	Kouzuki Momonosuke
OP01-042	base	Komurasaki
OP01-043	base	Shinobu
OP01-044	base	Shachi
OP01-045	base	Jean Bart
OP01-046	base	Denjiro
OP01-047	base	Trafalgar Law (047)
OP01-048	base	Nekomamushi
OP01-049	base	Bepo
OP01-050	base	Penguin
OP01-051	base	"Eustass""Captain""Kid"
OP01-052	base	Raizo
OP01-053	base	Wire
OP01-054	base	X.Drake (054)
OP01-055	base	You Can Be My Samurai!!
OP01-056	base	Demon Face
OP01-057	base	Paradise Waterfall
OP01-058	base	Punk Gibson
OP01-059	base	BE-BENG!!
OP01-060	base	Donquixote Doflamingo (060)
OP01-061	base	Kaido (061)
OP01-062	base	Crocodile (062)
OP01-063	base	Arlong
OP01-064	base	Alvida
OP01-065	base	Vergo
OP01-066	base	Krieg
OP01-067	base	Crocodile (067)
OP01-068	base	Gecko Moria
OP01-069	base	Caesar Clown
OP01-070	base	Dracule Mihawk
OP01-071	base	Jinbe (071)
OP01-072	base	Smiley
OP01-073	base	Donquixote Doflamingo (073)
OP01-074	base	Bartholomew Kuma
OP01-075	base	Pacifista
OP01-076	base	Bellamy
OP01-077	base	Perona
OP01-078	base	Boa Hancock
OP01-079	base	Ms. All Sunday
OP01-080	base	Miss Doublefinger(Zala)
OP01-081	base	Mocha
OP01-082	base	Monet
OP01-083	base	Mr.1 (Daz.Bonez)
OP01-084	base	Mr.2.Bon.Kurei (Bentham)
OP01-085	base	Mr.3 (Galdino)
OP01-086	base	Overheat
OP01-087	base	Officer Agents
OP01-088	base	Desert Spada
OP01-089	base	Crescent Cutlass
OP01-090	base	Baroque Works
OP01-091	base	King (091)
OP01-092	base	Urashima
OP01-093	base	Ulti
OP01-094	base	Kaido (094)
OP01-095	base	Kyoshirou
OP01-096	base	King (096)
OP01-097	base	Queen
OP01-098	base	Kurozumi Orochi
OP01-099	base	Kurozumi Semimaru
OP01-100	base	Kurozumi Higurashi
OP01-101	base	Sasaki
OP01-102	base	Jack
OP01-103	base	Scratchmen Apoo
OP01-104	base	Speed
OP01-105	base	Bao Huang
OP01-106	base	Basil Hawkins
OP01-107	base	Babanuki
OP01-108	base	Hitokiri Kamazo
OP01-109	base	Who's.Who
OP01-110	base	Fukurokuju
OP01-111	base	Black Maria
OP01-112	base	Page One
OP01-113	base	Holedem
OP01-114	base	X.Drake (114)
OP01-115	base	Elephant's Marchoo
OP01-116	base	Artificial Devil Fruit SMILE
OP01-117	base	Sheep's Horn
OP01-118	base	Ulti-Mortar
OP01-119	base	Thunder Bagua
OP01-120	base	Shanks
OP01-121	base	Yamato
OP01-008	promo	Cavendish (Box Topper)
OP01-034	promo	Inuarashi (Box Topper)
OP01-048	promo	Nekomamushi (Box Topper)
OP01-064	promo	Alvida (Box Topper)
OP01-077	promo	Perona (Box Topper)
OP01-109	promo	Who's.Who (Box Topper)
