variant_key	len	count
2nd anniversary chinese serial alt	34	1
t ournament pack vol 2 winner	29	1
baseshoplimitedcollection	25	1
psa x bandai promo alt	22	1
illustration boxvol 6	21	2
one piece day 24 alt	20	1
standardbattlewinner	20	1
2nd anniversary alt	19	16
1st anniversary alt	19	10
standardbattlevol11	19	1
world alt 2nd place	19	1
world alt 3rd place	19	1
ichiban byhylianer	18	1
super pre release	17	2
onepieceday24 alt	17	1
sound loader alt	16	2
koushirokushiro	15	3
promopackvol 8	14	5
standardbattle	14	4
premiumvol 5	12	11
championship	12	7
premiumvol 6	12	3
milky normal	12	1
new year alt	12	1
treasurecup	11	2
prb01alt2 1	11	1
soundloader	11	1
parallel 1	10	788
parallel 2	10	323
parallel 3	10	156
parallel 4	10	99
parallel 5	10	39
parallel 6	10	20
parallel 7	10	7
winner alt	10	6
parallel 8	10	4
wanted alt	10	3
alt remake	10	2
cn3rdanniv	10	2
manga rare	10	2
prb01alt 1	10	2
basketball	10	1
milky gold	10	1
alt art 2	9	79
alt art 3	9	16
prb01alt2	9	10
manga alt	9	9
alt art 1	9	8
exe vol 3	9	5
alt art 4	9	3
alt art 7	9	1
prb01alt1	9	1
wantedalt	9	1
world alt	9	1
prb01alt	8	71
dashpack	8	6
cn3rdann	8	3
alt st10	8	1
best alt	8	1
champion	8	1
flagship	8	1
st10 alt	8	1
st18 alt	8	1
st19 alt	8	1
st20 alt	8	1
premium	7	3
english	7	2
alt_art	7	1
fullalt	7	1
law alt	7	1
oda alt	7	1
st15alt	7	1
st16alt	7	1
st17alt	7	1
wanted	6	8
alt sp	6	6
sp alt	6	6
3rdann	6	5
winner	6	5
serial	6	3
cn alt	6	2
alt2nd	6	1
alt3rd	6	1
binder	6	1
tr alt	6	1
prb02	5	34
manga	5	18
film2	5	10
bisai	5	3
promo	5	2
tralt	5	1
base	4	4776
film	4	10
25th	4	9
alts	4	2
a t2	4	1
gold	4	1
st23	4	1
st24	4	1
st26	4	1
st27	4	1
st28	4	1
alt	3	670
sp1	3	4
sp2	3	4
ltd	3	3
red	3	3
a t	3	1
pp7	3	1
r1	2	331
sp	2	63
r2	2	31
tr	2	8
cs	2	7
cn	2	5
ia	2	1
sn	2	1
2	1	27
1	1	2
