count 52
('ANN1EN', 'OP01-004', 'Other Product Card')
('ANN1JP', 'OP01-006', 'Other Product Card')
('ANN2JP', 'OP01-030', 'Other Product Card')
('ANN3JP', 'OP07-118', 'Other Product Card')
('BCGF2526', 'OP07-073', 'Promotion Card')
('BCV1', 'OP01-029', 'Other Product Card')
('BCV3', 'OP04-032', 'Other Product Card')
('BCV4', 'EB01-007', 'Other Product Card')
('BCV5', 'EB02-041', 'Other Product Card')
('CS2526CP', 'EB01-014', 'Promotion Card')
('CS2526EP', 'OP05-067', 'Promotion Card')
('CS2526ORS2', 'OP09-004', 'Promotion Card')
('CS2526TP1', 'OP07-066', 'Promotion Card')
('CS2526TP2', 'OP06-063', 'Promotion Card')
('EP02', 'OP01-052', 'Promotion Card')
