canonical_code,variant_key,variant_label,print_id,release_set_name,image_path,is_base,is_sp,is_tr,is_alt,is_manga_rare,is_golden_manga_rare,is_illustration_rare
EB01-001,base,Base,EB01-001,Memorial Collection,,1,0,0,0,0,0,0
EB01-001,parallel 1,Parallel 1,EB01-001_p1,Memorial Collection,,0,0,0,0,0,0,0
EB01-001,parallel 2,Parallel 2,EB01-001_p2,Anime 25th Collection,EB01/parallel/EB01-001_p2.png,0,0,0,0,0,0,0
EB01-003,base,Base,EB01-003,Memorial Collection,EB01/sp/EB01-003_sp.png,1,1,0,0,0,0,0
EB01-003,parallel 1,Parallel 1,EB01-003_p1,Memorial Collection,EB01/parallel/EB01-003_p1.png,0,1,0,0,0,0,0
EB01-003,parallel 2,Parallel 2,EB01-003_p2,Promotion Card,EB01/parallel/EB01-003_p2.png,0,1,0,0,0,0,0
EB01-003,parallel 3,Parallel 3,EB01-003_p3,Promotion Card,EB01/parallel/EB01-003_p3.png,0,1,0,0,0,0,0
EB01-003,parallel 4,Parallel 4,EB01-003_p4,Promotion Card,EB01/parallel/EB01-003_p4.png,0,1,0,0,0,0,0
EB01-003,parallel 5,Parallel 5,EB01-003_p5,The Azure Sea’s Seven,EB01/parallel/EB01-003_p5.png,0,1,0,0,0,0,0
EB01-006,base,Base,EB01-006,Memorial Collection,,1,0,0,0,0,0,0
EB01-006,parallel 1,Parallel 1,EB01-006_p1,Memorial Collection,EB01/parallel/EB01-006_p1.png,0,0,0,0,0,0,0
EB01-006,parallel 2,Parallel 2,EB01-006_p2,Memorial Collection,EB01/parallel/EB01-006_p2.png,0,0,0,0,0,0,0
EB01-006,parallel 3,Parallel 3,EB01-006_p3,Promotion Card,EB01/parallel/EB01-006_p3.png,0,0,0,0,0,0,0
EB01-006,r1,R1,EB01-006_r1,One Piece Card The Best,EB01/base/EB01-006_r1.png,0,0,0,0,0,0,0
EB01-007,base,Base,EB01-007,Memorial Collection,,1,0,0,0,0,0,0
EB01-007,parallel 1,Parallel 1,EB01-007_p1,Other Product Card,EB01/parallel/EB01-007_p1.png,0,0,0,0,0,0,0
EB01-009,base,Base,EB01-009,Memorial Collection,,1,0,0,0,0,0,0
EB01-009,parallel 1,Parallel 1,EB01-009_p1,One Piece Card The Best Vol.2,EB01/parallel/EB01-009_p1.png,0,0,0,0,0,0,0
